Publication,Year,Month,Last Name (1st Author),Frequency (GHz),Psat (dBm),PAEmax (%),P1dB (dBm),PAE_1dB (%),Gain (dB)
TMTT,2015,2,Sessou,0.9,24,45.1,20,,15.5
RFIC,2016,7,Vorapipat,0.9,24,45,,,
RFIC,2016,7,Huang,0.9,8.9,43 (DE),,,
ISSCC,2016,2,Ba,0.9,8,45,,,
JSSC,2017,1,Vorapipat,0.9,24,45,,,
JSSC,2019,7,Xu,0.9,11.5,51,,,
JSSC,2014,8,Kim,0.915,33,43,32,37,32.2
JSSC,2019,7,Bechthum,0.915,27.1,33.3,,,
RFIC,2006,6,Han,0.92,,,27,28,14.5
RFIC,2015,11,Moon,0.92,,,,,
MWCL,2018,11,Lim,0.92,29,44.3,27.5,43,24.1
TMTT,2012,3,Francois,0.93,29.4,25.8,27.7,,
TMTT,2019,12,Lee,0.95,28,19,,,18
TMTT,2012,7,Ding,0.96,,,,,9.4
VLSI,2020,,Raja,1,,,,,
RFIC,2012,6,Zhang,1.1,30.9,53.2,,,12.5
RFIC,2013,6,Werquin,1.1,21,12.4,16.65,,27.5
ISSCC,2001,2,Shirvani,1.4,28.83,49,,,
JSSC,2002,8,Shirvani,1.4,24.83,49,,,
ISSCC,2008,2,Moloudi,1.4,,,,,
ISSCC,2008,2,Moloudi,1.4,,,,,
ISSCC,2008,2,Moloudi,1.4,,,,,
IMS,2013,6,Chen,1.4,34.4,38,,,10
RFIC,2017,6,Ghahremani,1.4,20,58,,,
ISSCC,2019,2,Xiong,1.5,21.4,31.3,,,
JSSC,2020,9,Yin,1.5,21.4,31.3,,,
TMTT,2009,11,Son,1.55,30.2,36.81,,,21.6
ISSCC,2020,,Guo,1.56,,,,,
JSSC,2008,10,Kavousian,1.6,,,,,
JSSC,2010,9,Lee,1.6,30.72,45.62,,,29
RFIC,2005,6,Mazzanti,1.7,23,67,,,
JSSC,2008,8,Brama,1.7,30.5,48,,,24
TMTT,2013,3,Cho,1.7,,,,,
MWCL,2016,8,Choi,1.7,21.5,33.3,,,
TMTT,2016,1,Park,1.7,,,,,
ISSCC,2018,2,Yin,1.7,27,25.4,,,
RFIC,2018,6,Martelius,1.7,29.7,34.7 (DE),,,
MWCL,2018,8,Kang,1.7,,,,,28.5
MWCL,2018,10,Kang,1.7,30,,,,
JSSC,2019,2,Yun Yin,1.7,27,25.4,,,
JSSC,2019,3,Lemberg,1.7,29.7,35,,,
TMTT,2019,12,Martelius,1.7,29.7,34.7,,,
TMTT,2014,5,Kim,1.71,32.5,61 (DE),,,29
ISSCC,2001,2,Fallesen,1.73,30.4,45,,,
TMTT,2012,11,Kim,1.74,34,60 (DE),,,28.3
ISSCC,2020,,Lee,1.745,29,22.1,,,33
IMS,2001,5,Fallesen,1.75,,,,,
JSSC,2005,12,Reynaert,1.75,27,34,,,30
JSSC,2006,12,Wongkomet,1.75,,,,,
JSSC,2006,12,Wongkomet,1.75,,,,,
TMTT,2016,1,Oßmann,1.75,31.2,33,26.5,26.5,27.5
MWCL,2017,8,Ahn,1.75,26.8,34.4,22,30,12.4
IMS,2010,7,Kim,1.76,31.6,45 (Efficiency),30.5,40 (Efficiency),19.2
RFIC,2005,6,Magnusson,1.8,4,,2.4,,11.8
RFIC,2007,6,Lee,1.8,33,30,31,27,19.5
RFIC,2007,6,Park,1.8,31.5,46,,,
RFIC,2007,6,Kim,1.8,33.5,41,,,20.5
RFIC,2007,6,Hwan An,1.8,31.2,41,,,
TMTT,2007,10,Park,1.8,31.7,42(DE),30,38(DE),25
TMTT,2008,4,Park,1.8,31.6,40.7(DE),,,21.6
TMTT,2008,6,Lee,1.8,32.2,35.6(DE),,,
TMTT,2009,4,Lee,1.8,33.77,50,24,20,20.77
TMTT,2010,1,Song,1.8,31.5,51,,,
RFIC,2011,6,Leuschner,1.8,29.4,51,28,43,34
IMS,2012,6,Kang,1.8,30.2,45.5,,,
IMS,2012,6,Chen,1.8,26.5,19,24,10,11
TMTT,2012,11,Chen,1.8,30.2,23.8,27.8,,14
TMTT,2012,11,Chen,1.8,28.4,25.7,26.9,,12
RFIC,2014,7,Hezar,1.8,23,47,,,
RFIC,2016,5,Yuan,1.8,26,24.9,,,
JSSC,2016,11,Yuan,1.8,26,24.5 (SE),,,
RFIC,2017,7,Bai,1.8,24,40 (SE),,,
JSSC,2018,1,Ghahremani,1.8,20.1,60.7,,,
JSSC,2018,1,Ghahremani,1.8,20.1,60.7,,,
JSSC,2018,3,Bai,1.8,24,40 (SE),,,
TMTT,2019,12,Lee,1.8,,,,,
MWCL,2020,8,Du,1.8,14.12,38.4,,,
TCASII,2020,Early access,Zhai,1.8,26.2,32.2,,,
TMTT,2012,1,Koo,1.85,30.5,58,29.5,58,15.8
TMTT,2013,9,Kang,1.85,30.2,48,18,,14
IMS,2013,6,Jin,1.85,,,,,
TMTT,2013,9,Jin,1.85,,,,,
TMTT,2014,11,Jin,1.85,,,,,
IMS,2014,6,Jin,1.85,,,,,
MWCL,2014,7,Cho,1.85,,,,,17.6
MWCL,2015,6,Jin,1.85,31.9,56.2,,,14.2
MWCL,2015,8,Park,1.85,,,,,
IMS,2015,5,Shim,1.85,29.7,36.9,,,
TMTT,2016,6,Kim,1.85,30.7,44.4,28.8,40,11
TMTT,2017,6,Park,1.85,28,33,27.2,32,24.8
TMTT,2017,6,Park,1.85,28,33,27.2,32,24.8
MWCL,2018,7,Kang,1.85,31.3,52,30.9,30,27.2
MWCL,2006,12,Jeong,1.88,21,44,18.3,29.2,17.1
RFIC,2009,6,Lee,1.88,32.5,52,,,
JSSC,2012,10,Kousai,1.88,30.1,36,28.8,,28.3
MWCL,2014,9,Kim,1.88,,,,,28(24.5)
ISSCC,2017,2,Ko,1.88,32,46.3,,,30.5
RFIC,2000,6,Giry,1.9,23.5,35,21.5,28,24.6
MWCL,2001,6,Heo,1.9,26,48,25,47,17
TMTT,2001,6,Fortes,1.9,22.8,42,21.2,34,10.5
RFIC,2003,6,Aoki,1.9,34.47,50,,,27
RFIC,2005,6,Srirattana,1.9,24,25,23,22,21
TMTT,2007,2,Park,1.9,32,40,,,
MWCL,2007,2,Park,1.9,28,33(DE),,,
RFIC,2007,6,Grewing,1.9,26.5,,,,
ISSCC,2008,2,Aoki,1.9,33,45,,,
JSSC,2008,12,Aoki,1.9,33,45,,,
JSSC,2009,7,Presti,1.9,,,,,
JSSC,2009,7,Presti,1.9,27.5,,,,14.5
IMS,2009,6,Pornpromlikit,1.9,33,47,31.8,46.7,13.2
TMTT,2010,1,Pornpromlikit,1.9,32,47,30,45,14.6
MWCL,2011,6,Kim,1.9,24.2,48.2 (DE),,,
RFIC,2012,7,Wesson,1.9,21.5,,,,
TMTT,2013,8,Jin,1.9,,,,,
MWCL,2013,10,Kim,1.9,29.6,45,,,
ISSCC,2014,2,Kaymaksut,1.9,28,34,26,30,21.3
IMS,2014,6,Kim,1.9,29.6,45,,,
JSSC,2016,2,Qian,1.9,35.3,44.9,31,28.8,38
ISSCC,2019,2,Zhang,1.9,30,45.9,,,
JSSC,2019,12,Zhang,1.9,30,,,,
RFIC,2010,6,Jeon,1.95,26,46.4,25,42.5,26
JSSC,2012,7,Onizuka,1.95,31.8,29,29,18,25
TMTT,2012,6,Song,1.95,30.8,43,27.5,32,32
JSSC,2012,5,Jeon,1.95,28.4,40.7,26,33,23
TMTT,2012,6,Aref,1.95,27.3,42.5,,,22.1
TMTT,2013,1,Jeon,1.95,26,46.4,,,26
TMTT,2013,2,Lee,1.95,29.3,34 (DE),,,29.3
TMTT,2013,1,Lee,1.95,29.5,46,,,25
JSSC,2014,10,Kousai,1.95,30.8,47,,,
JSSC,2014,10,Oishi,1.95,,,,,30.5
ISSCC,2014,2,Oishi,1.95,,,,,30.5
JSSC,2014,10,Oishi,1.95,,,,,29(28)
ISSCC,2014,2,Oishi,1.95,,,,,29
ISSCC,2014,2,Kousai,1.95,30.8,47,,,
ISSCC,2016,2,Paek,1.95,,,,,
IMS,2017,10,Draxler,1.95,,53,,47.5,26
RFIC,2008,6,Apostolidou,2,30,60,,,25
JSSC,2009,9,Walling,2,29.3,69,,,
ISSCC,2009,,Roderick,2,21,16 (DE),16,3.5,
JSSC,2009,5,Apostolidou,2,30,60,,,25
TMTT,2010,10,Kang,2,29,55,26,43,27
TMTT,2013,4,Cho,2,32,49,,,25
JSSC,2013,5,Zheng,2,20.4,32.3,,,
JSSC,2013,7,Zheng,2,20.4,32.3,,,
RFIC,2014,,Wang,2,25,33(DE),,,
RFIC,2015,,Yuan,2,20,21,,,
JSSC,2016,1,Yuan,2,20.5,20,,,
JSSC,2016,5,Yuan,2,20.5,20,,,
JSSC,2017,12,Hashemi,2,14.3,24,,,
MWCL,2017,5,Jeong,2,28.5,50,22,36,16.5
MWCL,2017,,Jeong,2,27*,50,,,
TMTT,2018,6,Zhai,2,21.9,34.2,,,10
TMTT,2018,6,Zhai,2,27.3,40.7,,,10.5
TMTT,2018,,Zhai,2,27.3,40.7,26.5,40,
TMTT,2018,10,Zhai,2,27.3,40.7,,,
TMTT,2018,10,Zhai,2,27.3,40.7,,,13*
RFIC,2020,,Ginzberg,2,23,26.5,,,
RFIC,2020,,Yang,2,32.67,45.1(DE),,,
TMTT,2020,9,Azam,2,21.7,38.1 (SE),,,
RFIC,2020,,Ginzberg,2,19,18.5,,,
RFIC,2020,,Kang,2,,,,,
MWCL,2021,,Wang,2,32.4,43.8,,,
MWCL,2021,1,Wang,2,32.4,40,,,
RFIC,2016,,Zhu,2.08,,,,,
JSSC,2017,5,Zhu,2.08,21.9,41,,,
JSSC,2015,7,Zheng,2.1,24,32.5(DE),22.8,35(DE),
JSSC,2016,5,Cho,2.1,25.6,34,,,
RFIC,2012,,Yoo,2.15,24.3,44,,,
JSSC,2013,5,Yoo,2.15,24.3,44,,,
MWCL,2016,7,Jeong,2.15,,,,,
ISSCC,2013,,Lai,2.17,13.5,34(DE),,,
ISSCC,2008,,Walling,2.2,28.6,28.5,,,
JSSC,2009,6,Walling,2.2,28.6,28.5,,,
ISSCC,2011,2,Yoo,2.2,25.2,55.2,,,
ISSCC,2013,,Ye,2.2,23.3,43,,,
JSSC,2013,12,Ye,2.2,23.3,38,,,
RFIC,2014,7,Wang,2.2,25,34 (DE),,,
ISSCC,2017,,Hashemi,2.2,14.6,28.8,,,
ISSCC,2017,,Bhat,2.2,30.3,34(Peak system Efficiency),,,
RFIC,2018,,Yoo,2.2,30.1,37,,,
TMTT,2018,8,Kuo,2.2,22.1,27 (DE),,,
RFIC,2019,,Hung,2.2,27.8,32.1,,,
ISSCC,2019,,Zhang,2.2,28.7,42.4(DE),,,
JSSC,2019,12,Zhang,2.2,28.7,42.4,,,
JSSC,2019,5,Yoo,2.2,30.1,37,,,
JSSC,2021,7,Hung,2.2,27.8,32.1,,,
RFIC,2009,,Walling,2.25,29.2,72,,,
RFIC,2011,,Chowdhury,2.25,21.8,44.2,,, 
JSSC,2011,8,Chowdhury,2.25,22,44,,,
ISSCC,2011,,Yoo,2.25,25.2,55.2,,,
JSSC,2011,12,Yoo,2.25,25.2,45,,,
RFIC,2011,,Yoo,2.25,27,26,,,
JSSC,2012,5,Chowdhury,2.25,21.8,44,,,
JSSC,2019,4,Zhang,2.25,26.8,49.3(DE),,,
JSSC,2019,4,Zhang,2.25,26.8,49.3(DE),,,
ISSCC,2009,,Chowdhury,2.3,30.1,33,28,,28
JSSC,2020,3,Jung,2.3,22.4,38.5(DE),,,
JSSC,2020,3,Jung,2.3,22.4,38.5 (DE),,,
RIFC,2020,,Serhan,2.3,32.8,59,,,
RIFC,2020,,Serhan,2.3,35.8,57,,,
ISSCC,2006,,Cook,2.34,-5,45,,,
IMS,2000,,Chen,2.4,22,44(DE),,,11
IMS,2001,,Chen,2.4,20,31,18,29,10
IMS,2001,,Heo,2.4,24,47,23,45,18
RFIC,2002,,K.K.O,2.4,,,23,,
ISSCC,2002,,Sowlati,2.4,23.5,45,21,19,38
JSSC,2002,3,Aoki,2.4,33.4,31,,,8.5
RFIC,2002,,Doan,2.4,,,5,,
RFIC,2003,,Point,2.4,,,21,,
JSSC,2003,8,Sowlati,2.4,23.5,45,32,32,
ISSCC,2003,,Ishikuro,2.4,4,,,,
ISSCC,2004,,Zargari,2.4,8,,,,
JSSC,2004,12,Zargari,2.4,,,,,
IMS,2004,,Eo,2.4,9.7,,7.9,,
RFIC,2004,,Banbury,2.4,,,11,,
ISSCC,2004,,Staszewski,2.4,2.5,,,,
JSSC,2005,12,Mehta,2.4,,,,,
RFIC,2005,,Saari,2.4,21.3,40,19,38,14.3
RFIC,2006,,Yen,2.4,,,20,,
RFIC,2006,,Fabbro,2.4,16.9,22.5,,,
ISSCC,2006,,Kang,2.4,25,31.5,24.5,31,19.8
IMS,2006,,Liu,2.4,22.6,34,21.4,33,10.8
RFIC,2006,,Oh,2.4,23,35,20.2,12,19
MWCL,2006,,Kang,2.4,25,65,22.7,60,25
JSSC,2007,2,Chen,2.4,,,20,,
RFIC,2007,,Wang,2.4,,,26.5,34.3,24.5
RFIC,2007,,Magnusson,2.4,13,18.5,11.6,16.2,10.4
MWCl,2007,,Chen,2.4,22,33.5,21,33,10
JSSC,2008,12,Zargari,2.4,15,,,,
JSSC,2008,3,Liu,2.4,27,32(DE),24,25(DE),18
MWCL,2008,,Yang,2.4,22,14,2.15,,11
RFIC,2008,,Yang,2.4,,,21.5,14,11.5
TMTT,2009,9,Carrara,2.4,24,65(DE),,,
JSSC,2009,12,Chowdhury,2.4,30.1,33,28,,28
MWCL,2009,,An,2.4,31,27,27,,13
MWCL,2009,,Huang,2.4,22,30,20.6,24.6,18
TMTT,2010,12,Huang,2.4,21.5,33,19.5,,15
JSSC,2010,5,Afsahi,2.4,28.3,35.3,,,14
RFIC,2010,,Li,2.4,28.4,19(DE),,,26.7
ISSCC,2010,,Lee,2.4,27.5,35.3 (DE),,,
JSSC,2011,7,Xu,2.4,25.3,35,,,
TMTT,2012,2,Yoon,2.4,23.1,42,22.3,40,24
JSSC,2012,10,Godoy,2.4,27.7,45,,,
RFIC,2012,,Winoto,2.4,29,,27.5,,
JSSC,2012,3,Kim,2.4,34,34.9,31.5,,22
JSSC,2012,7,Tai,2.4,31.5,27,,,
ISSCC,2012,,Madoglio,2.4,,,,,
ISSCC,2013,,Lu,2.4,24.7,37(DE),,,
TMTT,2013,3,Joo,2.4,,,,,21
RFIC,2013,,Joo,2.4,27,27,24.5,23,32
RFIC,2013,,Wu,2.4,,,,,
MWCL,2013,,Kim,2.4,26.5,37,,,
RFIC,2014,,Chen,2.4,27,,,,
TMTT,2014,11,Yang,2.4,27.3,35.7,,,10.1
JSSC,2014,6,Ryu,2.4,31.9,51,,,14.2
RFIC,2014,,Hezar,2.4,,,,,
RFIC,2014,,Ba,2.4,1.2,39(DE),,,
JSSC,2014,3,Yoon,2.4,23.7,43.6,22,40,29.5
RFIC,2014,,Ding,2.4,24.9,45,,,
MWCL,2015,4,Stoopman,2.4,,,,,
JSSC,2015,5,Hezar,2.4,23,47,,,
RFIC,2015,,Chung,2.4,28.5,,,,
MWCL,2015,,Ryu,2.4,24.6,38(DE),,,
JSSC,2015,5,Ding,2.4,24.9,45,,,25
RFIC,2015,,Tam,2.4,27,,,,
TMTT,2015,2,Yin,2.4,27.5,27,27,26.1,22.5
ISSCC,2015,,Afsahi,2.4,31.6,39.6,29.7,,
JSSC,2015,3,Hezar,2.4,23,47,,,
RFIC,2016,,Hu,2.4,24.6,39(DE),,,
ISSCC,2016,,Deng,2.4,27,,,,
IMS,2016,,Yang,2.4,27.5,47.1(DE),,,
ISSCC,2016,,Winoto,2.4,27.8,,,,
JSSC,2017,6,Peng,2.4,6,22.6,,,
ISSCC,2017,,Madoglio,2.4,19,32,,,
JSSC,2017,6,Hu,2.4,24.6,45.6(DE),,,
ISSCC,2017,,Liu,2.4,,,,,13
RFIC,2017,,Wong,2.4,32.5,,,,
MWCL,2017,,Oh,2.4,11,44.5,,,15
RFIC,2018,,Toh,2.4,25,77,21.3,54,20
TCASI,2019,1,Gilasgar,2.4,19.2,26,,,11.5
IMS,2019,,Heidebrecht,2.4,25,27.6,,,16
TMTT,2019,12,Lee,2.4,,,,,
JSSC,2019,3,Yin,2.4,28.8,30.8,,,
JSSC,2019,3,Yin,2.4,28.8,30.8,,,
TCASI,2020,3,Banerjee,2.4,31.6,49.2(DE),,,
RFIC,2020,,Shen,2.4,,,,,
TMTT,2020,9,Liu,2.4,23,27,,,9.2
JSSC,2020,8,Xu,2.4,0,20.8,,,
JSSC,2020,Early access,Yoo,2.4,30,40.2(DE),,,
JSSC,2020,Early access,Yoo,2.4,30,40.2(DE),,,
ISSCC,2021,,Yang,2.4,30.3,41.3,,,
ISSCC,2021,,Yang,2.4,30.3,36.5,,,
APMC,2020,,Ma,2.4,25.8,36,25.1,33,
RFIC,2021,,Reynier,2.4,35,53,,,29.5
ISSCC,2007,,Chang,2.412,25,,,,
JSSC,2005,3,Darabi,2.44,16,,,,
JSSC,2005,12,Khorram,2.44,19,,18,,14
JSSC,2016,7,Babaie,2.44,3,41,,,
MWCL,2015,6,Ryu,2.445,26,38(DE),24.6,,
MWCL,2003,2,Yen,2.45,22,30,20,28,11.2
RFIC,2003,,Khannu,2.45,3.5,16(DE),,,
RFIC,2005,,Kang,2.45,21,38,20.5,37,17.5
JSSC,2006,6,Kang,2.45,,,20.5,37,17.5
JSSC,2006,5,Kang,2.45,,,20,31,18.7
JSSC,2007,10,van Zeijl,2.45,,,,,
JSSC,2007,3,Reynaert,2.45,23,29,,,29
ISSCC,2008,,Degani,2.45,25,50(DE),,,
ISSCC,2010,,Afsahi,2.45,31.5,25,,,32
JSSC,2012,7,Kaymaksut,2.45,26.3,33,,,17
TMTT,2013,3,Afsahi,2.45,33.5,37.6,30.5,27,20
JSSC,2015,11,Yu,2.45,,,14.8,25,20.5
ISSCC,2017,,Cousinard,2.45,28.2,39(DE),,,
TCASII,2021,Early Access,Mariappan,2.45,28,42,26,40,27.5
RFIC,2016,,Ahn,2.48,26.7,47.7(DE),13,10,
MWCL,2017,,Jin,2.484,28.15,37*,,,30.7
MWCL,2017,,jin,2.484,22.1,32,,,30.7
TMTT,2010,5,Degani,2.5,31.5,48,28,30,18
JSSC,2011,5,Kim,2.5,31,34.8,28,28,31.3
JSSC,2012,12,Ravi,2.5,25.9,,,,
TMTT,2012,6,Jin,2.5,30.8,30.6,29,23,22
TMTT,2015,12,Francois,2.5,28.1,46.8,27.4,41,9
RFIC,2016,,Balteanu,2.5,,,,,
ISSCC,2017,,Passamani,2.5,28.6,35,,,
RFIC,2017,,Singh,2.5,22.5,16.5(DE),,,
MWCL,2017,,Ahn,2.5,26.8,34.4,,,
MWCL,2017,,Ahn,2.5,24.7,38.1,,,
RFIC,2017,,Shen,2.5,21.4,49.4(DE),,,
MWCL,2018,10,Luong,2.5,29,26.2,,,30
MWCL,2018,11,Luong,2.5,29,26.2,,,30
TMTT,2019,10,Hashemi,2.5,17.5,34,,,
JSSC,2020,Early access,Celik,2.5,14.8,12,10.1,5,12
IEEE Access,2020,Early access,Mishra,2.5,23,40,,,
IMS,2010,,Choi,2.535,,,,,
RFIC,2010,,Kim,2.535,,,,,
TMTT,2012,5,Hassan,2.535,,,,,28.5
ISSCC,2013,,Hassan,2.535,28.3,48,,,
ISSCC,2018,,Ho,2.59,,,,,
JSSC,2016,8,Park,2.6,28.1,35,,,
IMS,2017,,Hashemi,2.6,,,,,
IMS,2019,,Mohammad,2.6,33.1,43.5,,,
TCASII,2020,Early access,Zhai,2.6,23.1,31.8,,,
ISSCC,2011,,Tan,2.75,28,31.9,26.5,,
JSSC,2017,6,Hu,2.8,24.4,45.8(DE),,,
ISSCC,2017,,Park,2.8,24.5,40(DE),,,
JSSC,2018,2,Park,2.8,24.9,42.7,,,
JSSC,2018,2,Park,2.8,24.9,42.7,,,
RFIC,2019,,Bai,2.8,21.7,38.1,,,
RFIC,2020,,Qian,2.8,24.2,38.5(DE),,,
JSSC,2021,5,Qian,2.8,24.2,32.7,,,
RFIC,2012,,Zhang,2.85,30.5,35,,,8.5
RFIC,2014,,Choi,3,25.3,36.4,23.1,23.5,25.4
MWCL,2018,7,Ko,3,24.8,32.8,,,
MWCL,2018,6,Ko,3,24.8,32.8,,,
RFIC,2017,,Ko,3.1,24.3,34.8(DE),22.5,20(DE),17
MWCL,2015,,Basligheh,3.2,14*,36,11.5,25,17.5
RFIC,2020,,Qian,3.3,23.6,34.7(DE),,,
JSSC,2021,5,Qian,3.3,23.6,29,,,
MWCL,2011,,Kim,3.5,20.5,35.6,,,
JSSC,2017,12,Vorapipat,3.5,25.3,30.4,,,
MWCL,2017,,Dong,3.5,22,43.7,,,17.4
ISSCC,2017,,Vorapipat,3.5,25.3,30.4,,,
JSSC,2010,8,Kwon,3.55,22.8,39,,,
ISSCC,2006,,Sandner,3.6,,,5,,
JSSC,2015,5,Hu,3.6,27.3,28.6,,,16.8
EuMIC,2019,9,Seidel,3.6,6.8,36.9,,,
JSSC,2006,6,Elmala,3.65,26.5,39,25.4,32,27
ISSCC,2006,,Sandner,3.7,,,5,,
ISSCC,2015,,Hu,3.71,26.7,40.2(DE),,,
JSSC,2016,3,Hu,3.71,26.7,40.2(DE),,,16
RFIC,2014,,Hu,3.82,27.3,32.5(DE),,,8.6
ISSCC,2005,,Lida,4,,,,,
RFIC,2006,,Lu,4,,,9.4,,
IMS,2016,,Nai,4,22,44,21.4,38,
ISSCC,2006,,Sandner,4.1,,,5,,
JSSC,2017,7,Xiao,4.2,20,32.7(DE),,,12
JSSC,2016,3,Hu,4.3,26.1,36.2(DE),,,
JSSC,2016,8,Park,4.5,26,21.2,,,
RFIC,2018,,Toh,4.5,25,55,21.3,45,16.5
RFIC,2007,,Elmala,4.7,25,22,,,23
RFIC,2020,,Sheth,4.75,7.3,31,,,14
TMTT,2021,6,Sheth,4.75,7.3,31,,,14
IMS,2006,,Solar,4.8,26.5,26.7,20.8,6,25.5
TMTT,2020,9,Liu,4.9,21.9,24.2,,,11.3
RFIC,2021,,Sutardja,4.9,37.3,29.1,,,26
JSSC,2002,12,Zargari,5,22,,,,24
ISSCC,2004,,Zargari,5,9,,,,
RFIC,2004,,Grewing,5,,,3.5,,17
RFIC,2004,,Eo,5,20,18,19.2,17.5,7.1
JSSC,2006,8,Palaskas,5,,,20.5,,
ISSCC,2006,,Palaskas,5,,,,,
ISSCC,2006,,Palaskas,5,,,,,
JSSC,2008,12,Zargari,5,,,,,
MWCL,2010,,Huang,5,18,16,16.5,,
MWCL,2010,,Murad,5,10,,,,
RFIC,2014,,Chen,5,26,,,,
MWCL,2015,12,Basaligheh,5,15,36,11.5,25,
TCASI,2019,10,Tsai,5,30.7,24.3,24.4,,30.8
JSSC,2020,Early access,Celik,5,16,16,10,6,11
RFIC,2016,,Schwartz,5.15,29,25,26,,28
TMTT,2017,9,Kang,5.15,26,40,24,34,15
MWCL,2004,1,Wang,5.2,19.5,32,15,12.5,27
IMS,2004,,Eo,5.2,19.5,,17.1,15.3,
RFIC,2006,,Fabbro,5.2,16,12.5,,,
RFIC,2007,,Magnusson,5.2,8.7,12,7.6,10.8,5.1
ISSCC,2008,,Kousai,5.2,,,6,,
ISSCC,2008,,Degani,5.2,23,30(DE),,,
RFIC,2015,,Tam,5.2,26,,,,
RFIC,2019,,Ginzberg,5.2,20,35,,,
JSSC,2003,12,Vassiliou,5.25,,,6,,
MWCL,2004,11,Eo,5.25,24.1,20,21.8,13.1,21
RFIC,2009,,kidwai,5.25,23,15,22.5,11,27
RFIC,2020,,Sheth,5.25,6.5,26,,,14
JSSC,2003,12,Behzad,5.28,23,19,,,
ISSCC,2013,,Fathi,5.3,30.3,17.8,,,16.9
TMTT,2016,3,Qian,5.3,22.3,39.8,,,
ISSCC,2021,,Beikmirza,5.4,27.4,30.66,,,
ISSCC,2021,,Zhang,5.4,27,40.1,,,
RFIC,2004,,Banbury,5.5,,,9,,
JSSC,2007,2,Chen,5.5,,,10,,
RFIC,2015,,Chen,5.5,25.8,23.3,21.7,12,
ISSCC,2016,,Deng,5.5,25.5,,,,
RFIC,2018,,Andesron,5.53,,,,,27.6
RFIC,2006,,Yen,5.6,,,10,,
RFIC,2007,,Haldi,5.8,24.3,27(DE),20.5,17(DE),
RFIC,2008,,Haldi,5.8,24.3,27(DE),20.5,17.5(DE),8
JSSC,2008,5,Haldi,5.8,24.3,27(DE),20.5,16(DE),8
RFIC,2010,,Kim,5.8,15,,,,
